,2009,2010,2011
Diseases of heart,"5,088","5,170","5,106"
Malignant neoplasms,"5,035","4,937","4,888"
Cerebro vascular diseases (stroke),868,"1,096","1,092"
Chronic lower respiratory diseases,"1,033",901,937
Accidents,566,609,509
Alzheimer's disease,525,534,488
"Nephritis, nephrotic syndrome and nephrosis",538,553,494
Diabetes mellitus,598,504,526
Influenza and pneumonia,487,460,495
Septicemia,478,404,390
Intentional self-harm (suicide),209,219,176
Chronic liver disease and cirrhosis,212,223,212
All other causes,"4,293","4,400","4,815"
