Resident County,2009,2010,2011
Adams,0.18908629441624367,0.20943134535367544,0.2049079754601227
Alexander,0.1891891891891892,0.13186813186813187,0.18095238095238095
Bond,0.26785714285714285,0.14917127071823205,0.23728813559322035
Boone,0.22784810126582278,0.28,0.22527472527472528
Brown,0.2033898305084746,0.15942028985507245,0.2608695652173913
Bureau,0.26330532212885155,0.225130890052356,0.22606382978723405
Calhoun,0.2,0.24489795918367346,0.1509433962264151
Carroll,0.281767955801105,0.245,0.287292817679558
Cass,0.22297297297297297,0.23741007194244604,0.2605633802816901
Champaign,,,
Chicago,,,
Christian,0.25906735751295334,0.2371638141809291,0.24257425742574257
Clark,0.24766355140186916,0.19117647058823528,0.22727272727272727
Clay,0.2222222222222222,0.21714285714285714,0.2556818181818182
Clinton,0.2607449856733524,0.2440677966101695,0.22570532915360503
Coles,0.1934065934065934,0.2254335260115607,0.18161925601750548
Cook,,,
Crawford,0.23015873015873015,0.21524663677130046,0.20093457943925233
Cumberland,0.22608695652173913,0.2413793103448276,0.3
DeKalb,0.23564064801178203,0.22205438066465258,0.2353823088455772
DeWitt,0.24324324324324326,0.22085889570552147,0.267515923566879
Douglas,0.2342857142857143,0.2542372881355932,0.2127659574468085
DuPage,,,
Edgar,0.19047619047619047,0.1652892561983471,0.21354166666666666
Edwards,0.1891891891891892,0.27472527472527475,0.31343283582089554
Effingham,0.275974025974026,0.20180722891566266,0.24633431085043989
Fayette,0.2048780487804878,0.24401913875598086,0.21428571428571427
Ford,0.2268041237113402,0.23737373737373738,0.135678391959799
Franklin,0.22115384615384615,0.20475319926873858,0.23161764705882354
Fulton,0.2297872340425532,0.2288329519450801,0.22077922077922077
Gallatin,0.23529411764705882,0.19101123595505617,0.21686746987951808
Greene,0.26627218934911245,0.25675675675675674,0.1917808219178082
Grundy,0.2914438502673797,0.22160664819944598,0.2354368932038835
Hamilton,0.24545454545454545,0.34782608695652173,0.2719298245614035
Hancock,0.21,0.29545454545454547,0.20418848167539266
Hardin,0.3050847457627119,0.27419354838709675,0.2037037037037037
Henderson,0.22666666666666666,0.30666666666666664,0.20253164556962025
Henry,0.24571428571428572,0.26807760141093473,0.22718446601941747
ILLINOIS,,,
Iroquois,0.20809248554913296,0.2236842105263158,0.21705426356589147
Jackson,0.24541284403669725,0.22657952069716775,0.19542619542619544
Jasper,0.21739130434782608,0.22,0.17525773195876287
Jefferson,0.23162583518930957,0.22799097065462753,0.23218390804597702
Jersey,0.2182741116751269,0.23628691983122363,0.1946564885496183
Jo Daviess,0.23404255319148937,0.27555555555555555,0.2542372881355932
Johnson,0.2677165354330709,0.23529411764705882,0.18699186991869918
Kane,,,
Kankakee,,0.27188465499485065,
Kendall,0.24434389140271492,0.2558139534883721,0.2665289256198347
Knox,0.21666666666666667,0.20684736091298145,0.17619783616692428
LaSalle,,,
Lake,,,
Lawrence,0.15584415584415584,0.215,0.18099547511312217
Lee,0.2891246684350133,0.2302839116719243,0.22865013774104684
Livingston,0.2563451776649746,0.16346153846153846,0.21241050119331742
Logan,0.1930379746835443,0.25914634146341464,0.20921985815602837
Macon,,,
Macoupin,0.21428571428571427,0.2127659574468085,0.21389396709323583
Madison,,,
Marion,0.2152917505030181,0.25508317929759705,0.24632352941176472
Marshall,0.19047619047619047,0.23121387283236994,0.1464968152866242
Mason,0.22346368715083798,0.22885572139303484,0.215
Massac,0.18518518518518517,0.24186046511627907,0.14883720930232558
McDonough,0.2356902356902357,0.20677966101694914,0.22448979591836735
McHenry,,,
McLean,,,
Menard,0.22727272727272727,0.21487603305785125,0.205607476635514
Mercer,0.16184971098265896,0.2484076433121019,0.2331288343558282
Monroe,0.21839080459770116,0.2490118577075099,0.2669039145907473
Montgomery,0.22933333333333333,0.25071225071225073,0.26506024096385544
Morgan,0.23676880222841226,0.21893491124260356,0.25
Moultrie,0.18867924528301888,0.20388349514563106,0.20725388601036268
Ogle,0.21238938053097345,0.2526539278131635,0.2660753880266075
Peoria,,,
Perry,0.2168141592920354,0.192,0.2077922077922078
Piatt,0.21739130434782608,0.20279720279720279,0.24277456647398843
Pike,0.21,0.215,0.2009132420091324
Pope,0.0967741935483871,0.27586206896551724,0.2459016393442623
Pulaski,0.14285714285714285,0.32558139534883723,0.21839080459770116
Putnam,0.36507936507936506,0.20833333333333334,0.37254901960784315
Randolph,0.2506393861892583,0.18507462686567164,0.20876288659793815
Richland,0.2596685082872928,0.2182741116751269,0.24444444444444444
Rock Island,,,
Saline,0.20597014925373133,0.19946808510638298,0.18654434250764526
Sangamon,,,
Schuyler,0.23529411764705882,0.24675324675324675,0.24742268041237114
Scott,0.18,0.23333333333333334,0.20634920634920634
Shelby,0.2701612903225806,0.24680851063829787,0.20346320346320346
St. Clair,,,
Stark,0.17857142857142858,0.20481927710843373,0.1728395061728395
Stephenson,0.2391713747645951,0.218568665377176,0.2718253968253968
Suburban Cook,,,
Tazewell,,,
Union,0.2237442922374429,0.20304568527918782,0.23423423423423423
Vermilion,0.2532894736842105,0.22342733188720174,0.19959266802443992
Wabash,0.1953125,0.20625,0.23529411764705882
Warren,0.21693121693121692,0.16766467065868262,0.26804123711340205
Washington,0.22962962962962963,0.2152777777777778,0.17763157894736842
Wayne,0.22330097087378642,0.2564102564102564,0.20588235294117646
White,0.26605504587155965,0.24686192468619247,0.2617801047120419
Whiteside,0.2564935064935065,0.22741935483870968,0.24279210925644917
Will,,,
Williamson,0.248,0.2313937753721245,0.2242503259452412
Winnebago,,,
Woodford,0.24324324324324326,0.21142857142857144,0.23478260869565218
